Date,Service,Ligne,Nom_de_la_ligne,Taux_de_ponctualité,Nombre_de_voyageurs_à_l'heure_pour_un_voyageur_en_retard
1/1/2013,RER,A,RER A,83.60,5.10
1/1/2013,RER,B,RER B,83.60,4.00
1/1/2013,RER,C,RER C,83.60,11.30
1/1/2013,RER,D,RER D,83.60,3.50
1/1/2013,RER,E,RER E,83.60,13.90
1/1/2013,Transilien,H,Paris Nord Ouest,83.60,15.40
1/1/2013,Transilien,J,Paris Saint-Lazare Nord,83.60,4.70
1/1/2013,Transilien,K,Paris Nord Crépy,83.60,3.00
1/1/2013,Transilien,L,Paris Saint-Lazare Sud,83.60,5.30
1/1/2013,Transilien,N,Paris Montparnasse,83.60,17.90
1/1/2013,Transilien,P,Paris Est,83.60,6.00
1/1/2013,Transilien,R,Paris Sud Est,83.60,6.80
1/1/2013,Transilien,U,La Verrière - La Défense,83.60,12.00
2/1/2013,RER,A,RER A,83.60,6.20
2/1/2013,RER,B,RER B,83.60,4.10
2/1/2013,RER,C,RER C,83.60,11.20
2/1/2013,RER,D,RER D,83.60,3.80
2/1/2013,RER,E,RER E,83.60,17.90
2/1/2013,Transilien,H,Paris Nord Ouest,83.60,12.70
2/1/2013,Transilien,J,Paris Saint-Lazare Nord,83.60,7.40
2/1/2013,Transilien,K,Paris Nord Crépy,83.60,3.00
2/1/2013,Transilien,L,Paris Saint-Lazare Sud,83.60,4.60
2/1/2013,Transilien,N,Paris Montparnasse,83.60,13.90
2/1/2013,Transilien,P,Paris Est,83.60,8.40
2/1/2013,Transilien,R,Paris Sud Est,83.60,7.50
2/1/2013,Transilien,U,La Verrière - La Défense,83.60,11.00
3/1/2013,RER,A,RER A,83.60,5.30
3/1/2013,RER,B,RER B,83.60,4.80
3/1/2013,RER,C,RER C,83.60,7.10
3/1/2013,RER,D,RER D,83.60,4.00
3/1/2013,RER,E,RER E,83.60,13.10
3/1/2013,Transilien,H,Paris Nord Ouest,83.60,12.00
3/1/2013,Transilien,J,Paris Saint-Lazare Nord,83.60,5.30
3/1/2013,Transilien,K,Paris Nord Crépy,83.60,3.40
3/1/2013,Transilien,L,Paris Saint-Lazare Sud,83.60,4.50
3/1/2013,Transilien,N,Paris Montparnasse,83.60,8.20
3/1/2013,Transilien,P,Paris Est,83.60,8.10
3/1/2013,Transilien,R,Paris Sud Est,83.60,8.30
3/1/2013,Transilien,U,La Verrière - La Défense,83.60,8.30
4/1/2013,RER,A,RER A,83.60,5.00
4/1/2013,RER,B,RER B,83.60,6.40
4/1/2013,RER,C,RER C,83.60,7.80
4/1/2013,RER,D,RER D,83.60,4.80
4/1/2013,RER,E,RER E,83.60,25.30
4/1/2013,Transilien,H,Paris Nord Ouest,83.60,17.50
4/1/2013,Transilien,J,Paris Saint-Lazare Nord,83.60,5.70
4/1/2013,Transilien,K,Paris Nord Crépy,83.60,4.60
4/1/2013,Transilien,L,Paris Saint-Lazare Sud,83.60,5.40
